result_file,dataset,split_id,split_method,metric,score,Model
bace-cluster-train-pred-hyperopt.csv,bace,train,custer,accuracy_score,0.9867909867909868,Chemprop
bace-cluster-train-pred.csv,bace,train,custer,accuracy_score,0.9316239316239316,Chemprop
bace-cluster-validate-pred-hyperopt.csv,bace,validate,custer,accuracy_score,0.7610619469026548,Chemprop
bace-cluster-validate-pred.csv,bace,validate,custer,accuracy_score,0.6991150442477876,Chemprop
bace-random-train-pred.csv,bace,train,random,accuracy_score,0.9875583203732504,Chemprop
bace-random-validate-pred.csv,bace,validate,random,accuracy_score,0.8458149779735683,Chemprop
clintox-cluster-train-pred.csv,clintox,train,custer,accuracy_score,0.9809069212410502,Chemprop
clintox-cluster-validate-pred.csv,clintox,validate,custer,accuracy_score,0.9683257918552036,Chemprop
clintox-random-train-pred.csv,clintox,train,random,accuracy_score,0.9840764331210191,Chemprop
clintox-random-validate-pred.csv,clintox,validate,random,accuracy_score,0.9324324324324325,Chemprop
deepchem_Lipophilicity-cluster-train-pred.csv,lipophilicity,train,custer,accuracy_score,0.996358543417367,Chemprop
deepchem_Lipophilicity-cluster-validate-pred.csv,lipophilicity,validate,custer,accuracy_score,0.9634920634920635,Chemprop
deepchem_Lipophilicity-random-train-pred.csv,lipophilicity,train,random,accuracy_score,0.9980392156862745,Chemprop
deepchem_Lipophilicity-random-validate-pred.csv,lipophilicity,validate,random,accuracy_score,0.9603174603174603,Chemprop
HIV-cluster-train-pred.csv,HIV,train,custer,accuracy_score,0.9828651524686767,Chemprop
HIV-cluster-validate-pred.csv,HIV,validate,custer,accuracy_score,0.9674177338304425,Chemprop
HIV-random-train-pred.csv,HIV,train,random,accuracy_score,0.9958520468003548,Chemprop
HIV-random-validate-pred.csv,HIV,validate,random,accuracy_score,0.9708265802269044,Chemprop
sol_del-cluster-train-pred.csv,sol_del,train,custer,accuracy_score,0.9979144942648592,Chemprop
sol_del-cluster-validate-pred.csv,sol_del,validate,custer,accuracy_score,0.8461538461538461,Chemprop
sol_del-random-train-pred.csv,sol_del,train,random,accuracy_score,0.9958246346555324,Chemprop
sol_del-random-validate-pred.csv,sol_del,validate,random,accuracy_score,0.8764705882352941,Chemprop
tox21-cluster-train-pred.csv,tox21,train,custer,accuracy_score,0.9673073468654572,Chemprop
tox21-cluster-validate-pred.csv,tox21,validate,custer,accuracy_score,0.8482688391038696,Chemprop
tox21-random-train-pred.csv,tox21,train,random,accuracy_score,0.9484369385555156,Chemprop
tox21-random-validate-pred.csv,tox21,validate,random,accuracy_score,0.8982706002034588,Chemprop
bace-cluster-train-pred-hyperopt.csv,bace,train,custer,f1_score,0.9899941141848146,Chemprop
bace-cluster-train-pred.csv,bace,train,custer,f1_score,0.9484173505275498,Chemprop
bace-cluster-validate-pred-hyperopt.csv,bace,validate,custer,f1_score,0.8474576271186441,Chemprop
bace-cluster-validate-pred.csv,bace,validate,custer,f1_score,0.8023255813953488,Chemprop
bace-random-train-pred.csv,bace,train,random,f1_score,0.9907300115874854,Chemprop
bace-random-validate-pred.csv,bace,validate,random,f1_score,0.892966360856269,Chemprop
clintox-cluster-train-pred.csv,clintox,train,custer,f1_score,0.8823529411764706,Chemprop
clintox-cluster-validate-pred.csv,clintox,validate,custer,f1_score,0.0,Chemprop
clintox-random-train-pred.csv,clintox,train,random,f1_score,0.9019607843137256,Chemprop
clintox-random-validate-pred.csv,clintox,validate,random,f1_score,0.2857142857142857,Chemprop
deepchem_Lipophilicity-cluster-train-pred.csv,lipophilicity,train,custer,f1_score,0.9981173062997827,Chemprop
deepchem_Lipophilicity-cluster-validate-pred.csv,lipophilicity,validate,custer,f1_score,0.9814066289409862,Chemprop
deepchem_Lipophilicity-random-train-pred.csv,lipophilicity,train,random,f1_score,0.9989856542530069,Chemprop
deepchem_Lipophilicity-random-validate-pred.csv,lipophilicity,validate,random,f1_score,0.9796913078797725,Chemprop
